Nom projet,Client,Type,Montant HT (EUR),Statut,Date debut,Date fin,Heures estimees
Audit SEO technique Q1,TechnoVert SAS,Audit,2500,Facturé,2026-01-06,2026-01-24,25
Rédaction contenus CSRD,TechnoVert SAS,Rédaction,1800,Terminé,2026-01-13,2026-02-03,18
Campagne Meta Ads RSE,TechnoVert SAS,Campagne,3500,En cours,2026-01-20,,30
Stratégie SEO 2026,MaisonBio.fr,Consulting,2000,Facturé,2025-12-01,2025-12-20,15
Rédaction fiches produits bio,MaisonBio.fr,Rédaction,1600,Terminé,2026-01-06,2026-01-31,16
Refonte architecture SEO,LegalStart Pro,Audit,4500,Facturé,2025-11-15,2025-12-15,35
Campagne Google Ads juridique,LegalStart Pro,Campagne,5000,Facturé,2025-12-01,2026-01-15,25
Rédaction guides juridiques SEO,LegalStart Pro,Rédaction,3200,Terminé,2026-01-10,2026-02-05,20
SEO app mobile + blog,FitCoach App,Consulting,1500,Facturé,2025-12-01,2025-12-31,12
Rédaction articles fitness SEO,FitCoach App,Rédaction,1200,En cours,2026-01-15,,10
Audit SEO local + GMB,Comptoir des Saveurs,Audit,1800,Facturé,2025-10-01,2025-10-31,15
Rédaction recettes + blog SEO,Comptoir des Saveurs,Rédaction,2200,En cours,2026-01-06,,20
